index,store_name,city,state,date,store_segment,store_latitude,store_longitude,sales,pedidos,avg_ticket,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,y
15569,AR PAZZI ,RIO DE JANEIRO,RJ,2021-03-09,FOOD,-22.8858199,-43.2792183,120.4,2,60.2,392.3,303.8,249.14,89.5,19.9,108.9,100.9,29.9,296.6,70.8,90.0,93.4,153.7,182.5,47.4,100.2,188.7,86.9,169.8,443.1,51.9,19.5,64.9,62.0,15.9,119.3,51.5,570.24,102.9,136.1
16076,AR PAZZI ,RIO DE JANEIRO,RJ,2021-03-11,FOOD,-22.8858199,-43.2792183,136.1,3,45.37,120.4,392.3,303.8,249.14,89.5,19.9,108.9,100.9,29.9,296.6,70.8,90.0,93.4,153.7,182.5,47.4,100.2,188.7,86.9,169.8,443.1,51.9,19.5,64.9,62.0,15.9,119.3,51.5,570.24,157.7
16318,AR PAZZI ,RIO DE JANEIRO,RJ,2021-03-12,FOOD,-22.8858199,-43.2792183,157.7,2,78.85,136.1,120.4,392.3,303.8,249.14,89.5,19.9,108.9,100.9,29.9,296.6,70.8,90.0,93.4,153.7,182.5,47.4,100.2,188.7,86.9,169.8,443.1,51.9,19.5,64.9,62.0,15.9,119.3,51.5,259.1
16685,AR PAZZI ,RIO DE JANEIRO,RJ,2021-03-13,FOOD,-22.8858199,-43.2792183,259.1,5,51.82,157.7,136.1,120.4,392.3,303.8,249.14,89.5,19.9,108.9,100.9,29.9,296.6,70.8,90.0,93.4,153.7,182.5,47.4,100.2,188.7,86.9,169.8,443.1,51.9,19.5,64.9,62.0,15.9,119.3,67.0
16767,AR PAZZI ,RIO DE JANEIRO,RJ,2021-03-14,FOOD,-22.8858199,-43.2792183,67.0,1,67.0,259.1,157.7,136.1,120.4,392.3,303.8,249.14,89.5,19.9,108.9,100.9,29.9,296.6,70.8,90.0,93.4,153.7,182.5,47.4,100.2,188.7,86.9,169.8,443.1,51.9,19.5,64.9,62.0,15.9,182.0
17135,AR PAZZI ,RIO DE JANEIRO,RJ,2021-03-15,FOOD,-22.8858199,-43.2792183,182.0,3,60.67,67.0,259.1,157.7,136.1,120.4,392.3,303.8,249.14,89.5,19.9,108.9,100.9,29.9,296.6,70.8,90.0,93.4,153.7,182.5,47.4,100.2,188.7,86.9,169.8,443.1,51.9,19.5,64.9,62.0,44.5
17288,AR PAZZI ,RIO DE JANEIRO,RJ,2021-03-16,FOOD,-22.8858199,-43.2792183,44.5,1,44.5,182.0,67.0,259.1,157.7,136.1,120.4,392.3,303.8,249.14,89.5,19.9,108.9,100.9,29.9,296.6,70.8,90.0,93.4,153.7,182.5,47.4,100.2,188.7,86.9,169.8,443.1,51.9,19.5,64.9,81.9
17600,AR PAZZI ,RIO DE JANEIRO,RJ,2021-03-17,FOOD,-22.8858199,-43.2792183,81.9,2,40.95,44.5,182.0,67.0,259.1,157.7,136.1,120.4,392.3,303.8,249.14,89.5,19.9,108.9,100.9,29.9,296.6,70.8,90.0,93.4,153.7,182.5,47.4,100.2,188.7,86.9,169.8,443.1,51.9,19.5,194.3
17935,AR PAZZI ,RIO DE JANEIRO,RJ,2021-03-18,FOOD,-22.8858199,-43.2792183,194.3,3,64.77,81.9,44.5,182.0,67.0,259.1,157.7,136.1,120.4,392.3,303.8,249.14,89.5,19.9,108.9,100.9,29.9,296.6,70.8,90.0,93.4,153.7,182.5,47.4,100.2,188.7,86.9,169.8,443.1,51.9,302.7
18651,AR PAZZI ,RIO DE JANEIRO,RJ,2021-03-20,FOOD,-22.8858199,-43.2792183,302.7,4,75.68,194.3,81.9,44.5,182.0,67.0,259.1,157.7,136.1,120.4,392.3,303.8,249.14,89.5,19.9,108.9,100.9,29.9,296.6,70.8,90.0,93.4,153.7,182.5,47.4,100.2,188.7,86.9,169.8,443.1,286.5
